,artist_name,genres,followers,artist_popularity,artist_url,track_name,album_name,release_date,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Ariana Grande,pop,98934105,89,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,we can't be friends (wait for your love),eternal sunshine,2024-03-08,228639,False,89,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842
1,Ariana Grande,pop,98934105,85,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,the boy is mine,eternal sunshine,2024-03-08,173639,True,85,0.795,0.63,7,-5.854,0,0.0434,0.157,0.0,0.0732,0.447,97.998
2,Ariana Grande,pop,98934105,83,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,intro (end of the world),eternal sunshine,2024-03-08,92400,True,83,0.506,0.362,10,-9.48,1,0.0416,0.67,0.0,0.176,0.385,84.726
3,Ariana Grande,pop,98934105,80,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),2020-03-20,191013,False,80,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091
4,Ariana Grande,pop,98934105,79,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,"yes, and?",eternal sunshine,2024-03-08,214994,True,79,0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998
5,Ariana Grande,pop,98934105,82,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,One Last Time,My Everything - Deluxe,2014-08-22,197266,False,82,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.025
6,Ariana Grande,pop,98934105,78,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Die For You (with Ariana Grande) - Remix,Starboy (Deluxe),2023-03-14,232857,False,78,0.568,0.485,1,-7.635,0,0.0582,0.276,0.0,0.323,0.517,66.961
7,Ariana Grande,pop,98934105,82,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,7 rings,"thank u, next",2019-02-08,178626,True,82,0.777,0.317,1,-10.732,0,0.308,0.591,0.0,0.0881,0.33,139.848
8,Ariana Grande,pop,98934105,70,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,Dangerous Woman,2016-05-20,235946,False,70,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049
9,Ariana Grande,pop,98934105,70,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Into You,Dangerous Woman,2016-05-20,244453,False,70,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853
